x_p       y_p       z_p       md1_p     m1z_p     ph1_p     x0s_p     y0s_p     Z0s_p   x1_p  y1_p    z1_p  x2_p   y2_p  z2_p  dc1_p   dc2_p  d_dc1   d_dc2  radius  mod2_p
   -60.297   -85.526     0.465     0.514     0.012   -34.000   -61.000   -86.000     0.000   -61.000   -86.000     0.000     0.000     0.000     0.000        16.988       0.00000   0.00158   0.00000   1.00000   0.00000   0.00000
   -60.447   -85.180    -2.087     0.556    -0.065   -81.103   -60.662   -86.228     0.465   -61.000   -86.000     0.000     0.000     0.000     0.000        19.004       0.00000   0.00865   0.00000   1.00000   0.00000   0.00000
   -60.505   -85.725    -4.961     0.391    -0.073   -84.669   -60.594   -86.663    -2.087   -61.000   -86.000     0.000     0.000     0.000     0.000        20.932       0.00000   0.01170   0.00000   1.00000   0.00000   0.00000
   -60.846   -86.001    -6.918     0.471    -0.050  -112.079   -60.566   -86.971    -4.961   -61.000   -86.000     0.000     0.000     0.000     0.000        21.624       0.00000   0.01675   0.00000   1.00000   0.00000   0.00000
   -61.026   -86.659    -7.871     0.298    -0.024  -126.536   -60.706   -87.316    -6.918   -61.000   -86.000     0.000     0.000     0.000     0.000        19.456       0.00000   0.03957   0.00000   1.00000   0.00000   0.00000
   -61.263   -86.976    -7.427     0.318     0.011  -136.614   -60.846   -87.506    -7.871   -61.000   -86.000     0.000     0.000     0.000     0.000        17.897       0.00000   0.05906   0.00000   1.00000   0.00000   0.00000
   -61.246   -87.242    -9.623     0.207    -0.056  -119.871   -61.029   -87.679    -7.427   -61.000   -86.000     0.000     0.000     0.000     0.000        18.792       0.00000   0.06470   0.00000   1.00000   0.00000   0.00000
   -61.500   -87.490    -9.433     0.255     0.005  -149.251   -61.111   -87.821    -9.623   -61.000   -86.000     0.000     0.000     0.000     0.000        17.252       0.00000   0.07219   0.00000   1.00000   0.00000   0.00000
   -61.559   -87.754    -8.969     0.149     0.012  -160.177   -61.284   -87.924    -9.433   -61.000   -86.000     0.000     0.000     0.000     0.000        18.275       0.00000   0.06350   0.00000   1.00000   0.00000   0.00000
   -61.709   -87.835    -9.936     0.178    -0.024  -162.733   -61.396   -87.964    -8.969   -61.000   -86.000     0.000     0.000     0.000     0.000        19.680       0.00000   0.05520   0.00000   1.00000   0.00000   0.00000
   -61.982   -87.779   -11.107     0.278    -0.030  -155.110   -61.530   -88.006    -9.936   -61.000   -86.000     0.000     0.000     0.000     0.000        18.074       0.00000   0.06831   0.00000   1.00000   0.00000   0.00000
   -62.025   -87.939    -9.414     0.159     0.043  -158.523   -61.730   -88.099   -11.107   -61.000   -86.000     0.000     0.000     0.000     0.000        15.396       0.00000   0.05959   0.00000   1.00000   0.00000   0.00000
   -62.208   -87.929   -10.349     0.224    -0.024  -151.723   -61.847   -88.145    -9.414   -61.000   -86.000     0.000     0.000     0.000     0.000        17.185       0.00000   0.06130   0.00000   1.00000   0.00000   0.00000
   -62.225   -87.962    -9.491     0.167     0.022  -130.999   -62.003   -88.229   -10.349   -61.000   -86.000     0.000     0.000     0.000     0.000        18.562       0.00000   0.05611   0.00000   1.00000   0.00000   0.00000
   -62.180   -88.202    -8.619     0.050     0.022  -140.406   -62.090   -88.328    -9.491   -61.000   -86.000     0.000     0.000     0.000     0.000        20.612       0.00000   0.04796   0.00000   1.00000   0.00000   0.00000
   -62.208   -88.257    -7.116     0.061     0.038  -138.520   -62.120   -88.354    -8.619   -61.000   -86.000     0.000     0.000     0.000     0.000        23.160       0.00000   0.05206   0.00000   1.00000   0.00000   0.00000
   -62.156   -88.188    -6.749     0.105     0.009   -86.266   -62.157   -88.386    -7.116   -61.000   -86.000     0.000     0.000     0.000     0.000        25.463       0.00000   0.04531   0.00000   1.00000   0.00000   0.00000
   -62.018   -88.146    -6.414     0.181     0.008   -63.285   -62.151   -88.469    -6.749   -61.000   -86.000     0.000     0.000     0.000     0.000        26.268       0.00000   0.05573   0.00000   1.00000   0.00000   0.00000
   -61.921   -88.181    -6.240     0.218     0.004   -64.902   -62.087   -88.596    -6.414   -61.000   -86.000     0.000     0.000     0.000     0.000        27.304       0.00000   0.04985   0.00000   1.00000   0.00000   0.00000
   -61.686   -88.376    -6.076     0.246     0.004   -40.259   -62.014   -88.752    -6.240   -61.000   -86.000     0.000     0.000     0.000     0.000        28.367       0.00000   0.04384   0.00000   1.00000   0.00000   0.00000
   -61.691   -88.387    -5.834     0.252     0.006   -70.463   -61.865   -88.878    -6.076   -61.000   -86.000     0.000     0.000     0.000     0.000        29.317       0.00000   0.03867   0.00000   1.00000   0.00000   0.00000
   -61.516   -88.574    -5.011     0.268     0.021   -53.772   -61.799   -89.066    -5.834   -61.000   -86.000     0.000     0.000     0.000     0.000        29.326       0.00000   0.03915   0.00000   1.00000   0.00000   0.00000
